name,length,origin,countries,country,state_province,cities,min_life_expectancy,max_life_expectancy,min_weight,max_weight,family_friendly,shedding,general_health,playfulness,children_friendly,grooming,intelligence,other_pets_friendly
Abyssinian,12 to 16 inches,Southeast Asia,Southeast Asia,Cambodia Laos Vietnam Myanmar Thailand Malaysia Brunei East_Timor Indonesia Philippines Singapore,,,9,15,6,10,3,3,2,5,5,3,5,5
Aegean,Medium,Greece,Greece,Greece,,,9,10,7,10,5,3,4,4,5,4,4,3
American_Bobtail,Medium,United States&Canada,United States&Canada,USA Canada,,,11,15,8,13,4,4,4,4,4,3,4,4
American_Shorthair,12 to 15 inches,United States,United States,USA,,,15,20,7,12,3,3,4,2,4,4,4,3
American_Wirehair,Medium to large,United States,United States,USA,,,14,18,8,15,4,3,5,3,4,5,4,3
Aphrodite_Giant,Large,Cyprus,Cyprus,Cyprus,,,12,15,11,24,4,4,3,4,5,2,4,4
Arabian_Mau,Medium,Saudi Arabia,Saudi Arabia,Saudi_Arabia,,,12,14,8,16,4,2,4,4,4,5,4,3
Asian,Medium,Great Britain,Great Britain,England Scotland Wales,,,15,15,10,10,5,1,4,4,5,3,4,4
Australian_Mist,Medium,Australia,Australia,Australia,,,15,18,8,15,5,2,4,4,4,4,4,3
Bambino,Short,United States,United States,USA,,,9,15,4,9,4,1,3,4,4,2,3,3
Bengal_Cats,"17 to 22 inches, not including tail",USA,USA,USA,,,10,16,8,17,5,2,3,5,5,4,5,5
Birman,15 to 18 inches,Unknown,Unknown,Unknown,,,12,16,6,12,5,3,2,4,5,2,4,5
Bombay,13 to 20 inches,"Kentucky, USA",USA,USA,Kentucky,,12,20,8,15,4,2,4,4,4,4,4,4
Brazilian_Shorthair,Medium to large,Brazil,Brazil,Brazil,,,14,20,10,22,4,1,3,4,5,4,4,4
British_Longhair,Medium to Large,Great Britain,Great Britain,England Scotland Wales,,,15,17,9,18,4,4,3,3,4,2,4,3
British_Shorthair,"22 to 25 inches, not including tail",Great Britain,Great Britain,England Scotland Wales,,,12,17,7,17,3,3,4,2,4,4,3,5
Burmese,15 to 18 inches,Burma&Thailand,Burma&Thailand,Burma Thailand,,,10,16,8,12,5,2,2,4,5,5,5,4
Burmilla,Medium,England,England,England,,,10,15,6.5,13,4,3,3,5,4,4,3,4
California_Spangled,Medium to Large,USA,USA,USA,,,9,16,8,15,4,2,4,4,4,5,4,3
Chantilly-Tiffany,Medium,United States,United States,USA,,,7,16,6,12,4,3,4,4,4,2,4,3
Chausie,Large,Egypt,Egypt,Egypt,,,12,14,15,30,4,1,4,4,1,5,5,4
Colorpoint_Shorthair,Small to medium,England,England,England,,,12,17,5,10,5,2,2,5,4,4,4,4
Cornish_Rex,Small,United Kingdom,United Kingdom,England Scotland Wales Northern_Ireland,,,11,15,6,10,5,2,3,5,5,5,4,5
Cyprus,Medium,Cyprus,Cyprus,Cyprus,,,12,15,8,16,4,2,4,5,4,4,4,4
Devon_Rex,15 to 18 inches,"Devon, England",England,England,,Devon,9,15,5,10,5,1,1,4,5,5,4,4
Donskoy,Medium,Russia,Russia,Russia,,,12,15,6,15,4,1,3,4,4,2,4,4
European_Shorthair,Medium,Italy,Italy,Italy,,,15,20,8,15,4,2,4,4,5,5,4,4
Foldex,Medium,"Quebec, Canada",Canada,Canada,Quebec,,12,15,5,14,5,3,4,4,5,3,4,4
German_Rex,Small to medium,Germany,Germany,Germany,,,9,14,5,8,4,2,3,4,4,2,4,4
Highlander,Medium to large,United States,United States,USA,,,10,15,10,20,4,2,4,4,4,3,4,5
Japanese_Bobtail,Medium,China&Japan,China&Japan,China Japan,,,9,15,6,10,5,3,4,5,5,4,4,5
Javanese,Small to medium,United States&Canada,United States&Canada,USA Canada,,,10,15,5,10,5,3,2,4,4,4,4,4
Khao_Manee,10 to 12 inches,Thailand,Thailand,Thailand,,,10,12,8,10,4,1,3,5,5,4,4,4
Kurilian_Bobtail,Medium to large,Kuril Islands,Kuril Islands,Kuril_Islands,,,15,20,8,15,4,2,3,4,4,5,4,4
Lykoi,Short to Medium,United States,United States,USA,,,12,15,4,7,4,4,3,4,4,2,5,3
Maine_Coon,30 to 40 inches,"Maine, USA",USA,USA,Maine,,9,15,9,18,3,4,3,4,5,4,4,5
Manx,14 to 16 inches,"Isle of Man, UK",UK,England Scotland Wales Northern_Ireland,,Isle of Man,8,14,8,12,4,3,3,3,2,3,4,2
